,sub_title,description,ville,prix,num_chambres,num_pieces,loyer_mensuel,link
11,TDI6097 Appartements de luxe à louer à Baco djicoroni Golf Bamako Mali,"Ville: Baco djicoroni GolfLoyer : 91/Jour 60.000fcfa/jHonoraires agence: 50%Nombre de chambres: 2Nombre de pièces: 3À louer des appartements de luxe à Baco djicoroniConçu pour faire la différence, cest au cur du district de Bamako, du Coté Est dans le quartier résidentiel et cosmopolite de Baco Djicoroni ACI Sud (Golf) quest situéUn immeuble de 9 appartements neufs meublés haut standing entièrement équipés où le talent du décor est de vous croire chez vous. Chaque chambre est décorée de manière élégante et particulière avec des matériels et mobiliers haut de gamme.Profitez du confort absolu. Chaque suite appartement est unique et tout y est raffinement, détente et propreté sous maitrise des accès, vidéo surveillance, vidéophone et videodoor avec :                                              2 chambres climatisées avec salle de bain1 cuisine équipée (réfrigérateur, chauffe eau, micro onde, plaque de cuisson, machine à café etc.)1 salon avec balcon et espace familial aménagé donnant parfois sur de grandes baies vitrées1 toilette visiteurUne gestion télécommandée des lumières/ventilosQuand on est installé , on oublie quil faut le quitter un jour .Dispose dune connection internet par Wifi avec des TV LED donnant accès aux différentes chaînes Canal Satellite.Accès & SécutritéUn service de sécurité veille jour et nuit sur limmeuble.Laccès à la ville y est aisé et laéroport de Bamako Sénou est à 15 mn.Nous disposons d'un groupe électrogène de 90kva",Baco djicoroni,,,, 91  C.C,https://www.bamako-immobilier.com//2053-location-appartements-baco-djicoroni-.html
12,TDI5905 à louer appartements non meublés à Niamakoro Bamako Mali,"Appartement non meublé à louer à Niamakoro non loin de sugu kôrô .Elle est composée de :deux chambres, salon,deux salles de bains , magasinPrix 60.000/moisAgence immobilièreTRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461(viber",Niamakoro,, 2, 3, 92  C.C,https://www.bamako-immobilier.com//1779-location-appartements-niamakoro--niamacoro.html
13,Ref: kf894 appartement à louer bacodjicoroni golf bamako mali,"À louer à Baco djicoroni golf au bord du goudron un appartement non meublé au 2eme étage composé : 2chambres salon, magasin, 2toilettes et une petite terrassePrix: 65.000",golf,,,, 99  C.C,https://www.bamako-immobilier.com//2928-location-appartements-golf.html
14,TDI5991 appartements à louer à magnambougou bamako,"Toutes les annonces de location dappartement. Tout pour louer un appartement à Magnambougou.Immeuble composé de plusieurs Appartements non meublés à louer situé Magnambougou face au goudron près de l'immeuble Wassouloucomposé de:#1 chambre, salon ,1toilette , 1cuisine et balcon à  70.000fr/mois# 2 chambres,1 salon ,1toilette ,1 cuisine et 1balcon à 90.000",magnambougou,,,, 106  C.C,https://www.bamako-immobilier.com//1899-location-appartements-magnambougou-magnambougou-bamako.html
15,TDI5904 à louer appartements non meublés à Sogoniko Bamako Mali,"A louer appartements non meublés à Sogoniko à 20 m du goudron.Composition :-Deux Chambres  avec leurs salles de bain,salon.-Une Chambre, salon,salle de bain.Prix F2 :40 000/moisF3 :70 000/moisAgence immobilièreTRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461(viber",Sogoniko,, 2, 3, 107  C.C,https://www.bamako-immobilier.com//1778-location-appartements-sogoniko-sogoniko.html
16,TDI6026  appartement à louer à kanadjiguila Bamako,"vous cherchez un endroit à kanadjiguila ? nous avons un appartement à louer composé de deux chambres,un salon,une cuisine et une toilette à seulement 75000/mois contactez nous!!!",kanadjiguila,, 2, 3, 114  C.C,https://www.bamako-immobilier.com//1960-location-appartements-kanadjiguila-kanadjiguila-bamako.html
17,TDI9082 Appartement une chambre à louer à Sotuba Aci Bamako Immobilier A louer à,"Des appartements une chambrenon meublés à louer à Sotuba Aci, composés comme suit:- 2 chambres-salon, 2 toilettes intérieures , cuisine et magasin.Prix :125.000 fcfa/mois (190 ).- 1 chambre-salon, magasin.Prix :75.000 fcfa/mois (114 ).Conditions: 2 mois caution et 1 mois d'avance.Trouvez vos locations dappartement,maison terrain à sotuba ou encore des villas à vendre ,terrain, studio à sotuba Bamako Mali",Sotuba,, 1, 2, 114  C.C,https://www.bamako-immobilier.com//2370-location-appartements-sotuba.html
18,TDI8020 3 Appartements non meublés à louer à Baco djicoroni  Golf Bamako Mali,"Appartements non meublés à louer à Baco djicoroni Golf, à 300m environ du goudron, accès facile avec un garage pour 5 véhicules.Nous vous proposons des appartements de:- 1 chambre-salon , cuisine et 1 salle de bain à 75.000 fcfa/mois ( 114 )- 2 chambres-salon , cuisine , 2 salles de bain internes et une zone de vaisselle à 125.000 fcfa/mois ( 190 )- 2 chambres donnant sur des balcons, 1 salon spacieux, 1 cuisine, 2 salles de bain internes , des toilettes visiteurs et une zone de vaisselle à 150.000 fcfa/mois(229 )",Baco djicoroni,, 1, 2, 114  C.C,https://www.bamako-immobilier.com//2198-location-appartements-baco-djicoroni-.html
19,TDI6028 appartement à louer à Banankabougou  Bamako,"Deux appartements non meublés à louer au 2ème étage à Banankabougou à 100 m environ du goudron non loin du lycée ""Ibrahima Ly""composés de :# 3 chambres, salon ,2 douches et une cuisine à 100.000 FCFA/mois# 2 chambres ,salon ,2 douches et une cuisine à75.000 FCFA /mois",banankabougou,, 2, 3, 114  C.C,https://www.bamako-immobilier.com//1962-location-appartements-banankabougou-banankabougou-bamako.html
20,TDI6028 appartement à louer à Banankabougou  Bamako,"Deux appartements non meublés à louer au 2ème étage à Banankabougou à 100 m environ du goudron non loin du lycée ""Ibrahima Ly""composés de :# 3 chambres, salon ,2 douches et une cuisine à 100.000 FCFA/mois# 2 chambres ,salon ,2 douches et une cuisine à75.000 FCFA /mois",banankabougou,, 2, 3, 114  C.C,https://www.bamako-immobilier.com//1962-location-appartements-banankabougou-banankabougou-bamako.html
21,TDI8005 Appartements non meublés à louer à Garantiguibougou Bamako Mali,"Un immeuble composé de plusieurs appartements non meublés à louer à  Garantiguibougou non loin du goudron.- Appartement de 2 chambres-salon,2 toilettes et 1 cuisine à 80.000 fcfa/mois.( 122 )- Appartement 1 chambre-salon, 1 salle de bain et 1 cuisine à 75.000 fcfa/mois. (114 )",Garantiguibougou,,,, 114  C.C,https://www.bamako-immobilier.com//2177-location-appartements-garantiguibougou-.html
22,TDI9173 A louer appartement a Baco djicoroni Aci Bamako Immobilier à vendre ,"A louer appartement non meublé a Baco djicoroni Aci, composé de 3 chambres, 1 salon, 2 toilettes et 1 magasin.Prix : 75.000 fcfa /mois (114 )",Baco djicoroni,, 3, 5, 114  C.C,https://www.bamako-immobilier.com//2469-location-appartements-baco-djicoroni-.html
23,TDI5931 À louer un Appartement à l'hippodrome à bamako,"Toutes les annonces de location dappartement. Tout pour louer un appartement à Hippodrome Bamako.vous cherchez un endroit en location pour  un séjour à l'hippodromenous vous proposons cet Appartement situé en face de l'école Mandéla au bord du goudroncomposé d'une chambre,un salon,une douche et un magasin au prix de 75 000f /mois2mois de caution",hippodrome,, 1, 2, 114  C.C,https://www.bamako-immobilier.com//1862-location-appartements-hippodrome-hippodrome-bamako.html
24,"TDI8071 Appartements non meublés à louer à  Kalaban coro Adeken/ Location,Achat,","Immeuble composé de plusieurs appartements non meublés à louer à Kalaban coro Adeken à 200m environ du goudron :- 4 chambres-salon, 2 toilettes et une cuisine à 125.000 fcfa/mois(190 );- 3 chambres-salon, 2 toilettes et une cuisine à 90.000 fcfa/mois ( 137 ) ;- 2 chambres-salon , toilettes dans le couloir , magasin et cuisine à 75.000 fcfa/mois ( 114 );",Kalaban coro,, 2, 4, 114  C.C,https://www.bamako-immobilier.com//2258-location-appartements-kalaban-coro-.html
25,TDI9228 Plusieus appartements à louer à Sébénikoro Bamako Immobilier A louer à v,"Idéalement situés des appartements non meublés à louer à Sébénikoro, composés comme suit:- 4 appartements de 3 chambres-salon, cuisine et 2 toilettes intérieures.Prix :100.000 fcfa (152  )  /mois / appartement;- 2 appartements de 2 chambres-salon cuisine et toilettes intérieures.Prix :75.000 fcfa (114  ) /mois / appartement;Conditions: 3 mois de caution et 1 mois d'avance.",Sébénikoro,, 2, 3, 114  C.C,https://www.bamako-immobilier.com//2525-location-appartements-sebenikoro.html
26,TDI5700 à louer appartement à Missabougou Bamako Mali,"Appartement à louer à Missabougou vers l'hôpital du Mali. composition: deux chambres, salon, deux salles de bain, cuisine et magasin.                                                        Prix:75 000fcfa/mois                                                                                                     TRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461(viber)",Missabougou,, 2, 3, 115  C.C,https://www.bamako-immobilier.com//1427-location-appartements-missabougou-missabougou.html
27,K294 appartements non meublés à louer à Nafadji Bamako Mali,"Appartements non meublés à louer à Nafadji Bamako.Composés comme suit: 2 chambres, un salon, une toilette et un magasin.Prix: 75.000fcfa/mois (115Euro).Une chambre, un salon, une toilette.Prix: 70.000fcfa/mois (106Euro)La maison est équipée d'un forage.",Nafadji,,,, 115  C.C,https://www.bamako-immobilier.com//3240-location-appartements-nafadji.html
28,TDI5699 À louer  appartement à Missabougou Bamako Mali,"Appartement à louer à Missabougou vers l'hôpital du Mali. composition: deux chambres, salon, deux salles de bain, cuisine et magasin.                                                        Prix:75 000fcfa/mois                                                                                                     TRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461(viber)",Missabougou,, 2, 3, 115  C.C,https://www.bamako-immobilier.com//1426-location-appartements-missabougou-missabougou.html
29,TDI5865 à louer appartement non meublé à Niamakoro Cité Unicef Bamako Mali,"Appartement à louer à Niamakoro Cité UNICEF à 300m du goudron.Il est composé de :deux  chambres, salon,magasin,toilettePrix : 75000/moisAgence immobilière                                                                                                      TRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461(viber)",Niamakoro,, 2, 3, 115  C.C,https://www.bamako-immobilier.com//1714-location-appartements-niamakoro--niamacoro-cite-unicef.html
30,TDI6071 Appartements non meublés à louer à Banankabougou bamako mali,"Appartements à louer:Nous vous proposons un immeuble de 4 appartements non meublés à louer au quartier Banankabougou a 100m environ du goudron, disposés comme suit:- A l'etage: appartements de 2 chambres (chacune munie d'une salle de bain intène), un salon,un magasin et un balconPrix: 80.000FCFA soit (122 );- Au RDC: appartements de 2 chambres (chacune munie d'une salle de bain intène), un salon et une petite terrasse .Prix: 75.000f cfa soit (114 );",Banankabougou,, 2, 3, 122  C.C,https://www.bamako-immobilier.com//2019-location-appartements-banankabougou-.html
31,"TDI9060 A louer Appartement à Kalaban coura Bamako Immobilier, A louer à vendre","A louer: Un appartement composé de 2 chambres-salon, 1 cuisine, 2 toilettes et un balcon   à kalaban coura Aci,  à 80.000 fcfa/mois ( 122 ).",kalaban coura,, 2, 3, 122  C.C,https://www.bamako-immobilier.com//2333-location-appartements-kalaban-coura-.html
32,TDI5874 à louer appartement non meublé à Baco Djicoroni Golf Bamako Mali,"Appartement à louer au deuxième étage à Baco Djicoroni  golf près de la pâtisserie Papito à 20m du goudron.Il est Composé de: deux chambres, salon, toilette , cuisinePrtix:80 000                                                                                                                               Agence immobilière                                                                                                                   TRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461(viber)",Baco Djicoroni,, 2, 3, 122  C.C,https://www.bamako-immobilier.com//1726-location-appartements-baco-djicoroni--baco-djicoroni-golf.html
33,TDI5883 à louer appartements non meublés à Kalaban Koura Bamako Mali,"Location d'appartements non meublés à Kalaban Koura au bord du goudron.Chacun est composé de:deux chambres,salon,salle de bain,cuisine,balcon.                                        Prix:80 000/mois                                                                                                                     Agence immobilière                                                                                                             TRAORE DIARRA IMMOBILIERFaso Kanu rue:45 BP 1708Bamako Malicontact@mali-location.frML0022377050505/0022360050505(viber)France:0033637395461", Kalaban Koura,, 2, 3, 122  C.C,https://www.bamako-immobilier.com//1739-location-appartements--kalaban-koura--kalaban-koura.html
34,TDI5971 location d'Appartements à missabougou à bamako,"Un Immeuble constitué de plusieurs appartements meublés, climatisés et non meublés en location à missabougou au bord du goudron à 100m de la station shell composé de:#Meublés: 1 chambre,1salon ,une douche intérieure et une cuisine ouverte sur un  balconEau gratuite électricité à la charge du locataireÀ 12.500f/j soit 375.000/mois#Non meublé : 2chambres,1salon ,1douche et 1 cuisine à 80.000 f/moisConditions: 2 mois de caution et 1 mois d'avance",missabougou,,,, 122  C.C,https://www.bamako-immobilier.com//1876-location-appartements-missabougou-missabougou-bamako.html
35,TDI6094 Appartements non meublés à louer à Sirakoro Bamako Mali,"Appartements à louer Sira koro.Situés à 800m environ du goudron, nous vous proposons plusieurs appartements non meublés et magasins à louer, disposés comme suit:- 2 chambres-salon , cuisine et toilettes à 80.000FCFA ( 122);- 2 chambres- salon, cuisine, toilettes et magasin à 90.000FCFA ( 137)- 3 chambres- salon ,cuisine et 2 toilettes à 100.000FCFA (152 )- Magasins à 80.000FCFA (122).",Sirakoro,,,, 122  C.C,https://www.bamako-immobilier.com//2050-location-appartements-sirakoro-.html
36,"S82: Appartement non meublé à louer à Kalaban Coura, Bamako-Mali","Des appartements non meublés en location à Kalaban coura à 50m du goudron.Composé de :Deux (2) chambres, salon, toilettes, cuisine et terrasses.Prix : 80.000f/mois (123 Euro).",Kalaban,,,, 123  C.C,https://www.bamako-immobilier.com//3106-location-appartements-kalaban.html
37,Ref:TDI5154 location d'appartement à Sotuba Bamako Mali,"A louer !Un appartement non meublé situé à sotuba.Il est composé de: deux chambres dont une avec sa salle de bain,salon,cuisine,deux chambres extérieures dont une avec sa salle de bain.Merci de nous contacter:TRAORE DIARRA IMMOBILIERFaso kanu rue : 45 porte BP 1708 Bamako-Malicontact@mali-location.frML.00223 77 05 05 05/ 00223 60 05 05 05 ( Viber )France :0033637395461 ( Viber )Prix:125000/ moisConditions:deux mois de loyer et un mois d'avance",Sotuba,, 3, 4, 124  C.C,https://www.bamako-immobilier.com//624-location-appartements-sotuba--sotuba-aci.html
38, Ref:TDI5155 location appartement  à sotuba Bamako Mali,"A louer !Un appartement non meublé situé à sotuba.Il est composé de: deux chambres dont une avec sa salle de bain,salon,cuisine,deux chambres extérieures dont une avec sa salle de bain.Prix:125000/ moisConditions:deux mois de loyer et un mois d'avanceMerci de nous contacter:TRAORE DIARRA IMMOBILIERFaso kanu rue : 45 porte BP 1708 Bamako-Malicontact@mali-location.frML.00223 77 05 05 05/ 00223 60 05 05 05 ( Viber )France :0033637395461 ( Viber )",Sotuba Aci,, 4, 5, 124  C.C,https://www.bamako-immobilier.com//625-location-appartements-sotuba-aci-sotuba-aci.html
39,"TDI8038 Appartement (RDC) à louer à Kalaban coura location,vente,achat ","À louer à Kalaban Coura à 500m environ du goudron un appartement au RDC composé de 3 chambres-salon, dont la chambre principale avec salle de bain interne et un magasin.Prix : 85.000 fcfa/mois (129 ).",kalaban coura,, 3, 4, 129  C.C,https://www.bamako-immobilier.com//2221-location-appartements-kalaban-coura.html
40,"TDI8038 Appartement (RDC) à louer à Kalaban coura location,vente,achat ","À louer à Kalaban Coura à 500m environ du goudron un appartement au RDC composé de 3 chambres-salon, dont la chambre principale avec salle de bain interne et un magasin.Prix : 85.000 fcfa/mois (129 ).",kalaban coura,, 3, 4, 129  C.C,https://www.bamako-immobilier.com//2221-location-appartements-kalaban-coura.html
41,KF934 Appartement à louer sotuba Bamako Mali,"Un appartement de trois chambres salon et deux douches intérieures à louer à sotuba à 100 mètres du goudron non loin du monument Soumare.Prix :90,000",sotuba aci,,,, 137  C.C,https://www.bamako-immobilier.com//3041-location-appartements-sotuba-aci-.html
42,"TDI8067 Appartement non meublé à louer à Yirimadio Location,Achat,Vente","Immeuble avec 6 appartements non meublés à louer à Yirimadio (vers l'ancien poste ) à 150m du goudron, composé chacun de 2 chambres-salon, 2 toilettes et une cuisine.Prix : 90.000 fcfa /mois (137)",Yirimadio,, 2, 3, 137  C.C,https://www.bamako-immobilier.com//2254-location-appartements-yirimadio.html
43,"S4: Appartement non meublé en location à Bacodjicoroni Golf, Bamako-Mali","Appartement non meublé à louer à Bacodjicoroni Golf à 200m du goudron.Composé de :Deux chambres, salon, une cuisine, toilettes, une terrasse.Prix : 90.000f/mois (137,5 euro).",Baco djicoroni Golf,,,, 137  C.C,https://www.bamako-immobilier.com//2830-location-appartements-baco-djicoroni-golf.html
44,TDI9217 Appartements à louer à Sébénikoro Bamako Immobilier A louer à vendre,"Appartements non meublés à louer à Sébénikoro dans un immeuble.- 2 chambres-salon, cuisine et toilettes intérieures.Prix :90.000 fcfa (137 ) /mois.- 1 chambre-salon, cuisine et toilettesPrix :80.000 fcfa (122 ) /mois.Conditions : 2 mois de caution et 1 mois d'avance",Sébénikoro,, 2, 3, 137  C.C,https://www.bamako-immobilier.com//2514-location-appartements-sebenikoro.html
45,Ref: kf839 Appartement à louer à sotuba aci,"À louer à Sotuba à 400m environ du goudron un appartement non meublé composé de 2chambres, salon, cuisine, magasin et deux toilettes à 90.000",sotuba,,,, 137  C.C,https://www.bamako-immobilier.com//2864-location-appartements-sotuba.html
46,ref: kf486 Appartement non Meublés à louer à Kalaban Coura,"Appartements non meublés à louer à kalaban couraComposition : deux chambres dont la chambre principale avec sa toilette ,salon, cuisine,toilette commune.Prix :100000moisTel. 79421350 ou 63641314",Kalaban Coura,,,, 150  C.C,https://www.bamako-immobilier.com//1743-location-appartements-kalaban-coura.html
47,Maison à louer à kalaban koro proche aci 2000 ,"À louer appartement meublé à kalaban koroBonjour et Bienvenue à la Villa MansaDeni ""le Petit Prince""Notre villa vous accueille pour des locations de courte durée, de quelques jours, semaines ou mois, ou des séjours à lannéeElle se situe au Mali, à 8 km du centre ville de Bamako (15 minutes), à Kalaban Coro, un quartier résidentiel calme à 300 m du fleuve Niger (Djoliba)Notre villa se compose de 2 appartements indépendants :- Les 2 appartements sont climatisés, totalement meublés et équipés, de 140 m² chacun- Sur Kalaban Coro, proche de ACI Baco Djicoroni et de de Kalaban Coura- 7 couchages pour l'appartement du Rez de Chaussée, 6 couchages pour l'appartement du 1er étage- Cuisine équipée avec gazinière électrique 4-feux, micro-ondes, réfrigérateur et congélateur de 450L, grille-pain, bouilloire électrique, cafetière, tout le nécessaire de vaisselle- Ventilateurs dans toutes les pièces- Fenêtres doublées par des moustiquaires. De plus chaque lit possède sa propre moustiquaire suspendue- Jardin, terrasse, parking dallé pour plusieurs voitures- Présence d'un Gardien-gestionnaire- Possibilité de ménage, linge, repassage, garde d'enfant, courses, cuisine, etc- TV (ORTM, Africable, TV5Monde), avec lecteur DVD, et lecteur Malivision : possibilité pour le locataire de prendre des bouquets satellites de chaines TV (Sport, informations, etc) à ses frais- Accès Internet Wifi installé : possibilité pour le locataire de prendre un abonnement Internet à ses frais- Paillotte sur la terrasse au-dessus du toit- Loyer de 100 à 400 euros par semaine selon période, tarif dégressif pour plusieurs semaines, et pour les 2 appartements, nous contacter pour tarifs exacts et disponibilités- Contacter Olivier Brisse au 01.42.94.05.50 ou 0033.1.42.94.05.50- Photos détaillées sur http://www.obmali.fr/ en particulier sur la page 3 du site, onglet ""galerie photo""",Kalaban coro,, 7, 10, 150  C.C,https://www.bamako-immobilier.com//974-location-appartements-kalaban-coro-.html
48,ref:kf552 À louer appartement non meublé à Niamacoro Cité Unicef,"À louer immeuble composé de plusieurs appartements non meublé à louer à Niamakôrô cité UNICEF au bord du goudron composé de:#2 chambres dont la principale avec douche intérieure , salon , cuisine et une toilette dans le couloir à : 100.000 fcfa#3 chambres dont la principale avec douche intérieure , un salon ,une cuisine et une seconde toilette dans le couloir à : 175.000",Cité Unicef,,,, 150  C.C,https://www.bamako-immobilier.com//1935-location-appartements-cite-unicef.html
49,KF915 location d'appartement bacodjicoroni golf Bamako mali,"Appartement non meublé à louer à bacodjicoroni golf au bord du goudron composé de 2 chambres salon, cuisine, toilettes, Magasin, terrasse, un garagePrix : 100.000 à 125.000f/mois",golf,,,, 150  C.C,https://www.bamako-immobilier.com//3022-location-appartements-golf.html
50,TDI5987 À louer des appartement à niamakoro bamako,"Toutes les annonces de location dappartement . Tout pour louer un appartement à niamakoroImmeuble composé de plusieurs appartements non meublés en location situé   à Niamakôrô cité UNICEF au bord du goudron composés de:#2 chambres dont la principale avec douche inclue , un salon ,une  cuisine et une toilette dans le couloir à : 100.000 fcfa#3 chambres dont la principale avec douche intérieure , un salon ,une cuisine et une seconde toilette dans le couloir à : 175.000",niamakoro,,,, 152  C.C,https://www.bamako-immobilier.com//1895-location-appartements-niamakoro-niamakoro-bamako.html
51,TDI5972 Appartement en location à baco djicoroni golf à bamako,"à louer un Appartement non meublé au 1er étage situé à baco djicoroni golf à 200m du goudron non loin de la station ""TOTAL"" derrière la ""protection civille""composé de :3 chambres dont la principale avec une douche  intérieure (non aménagée pour le moment) et la 2eme douche dans le couloir et enfin 2 terrassesà seulement 100000/mois",baco djicoroni,, 3, 4, 152  C.C,https://www.bamako-immobilier.com//1877-location-appartements-baco-djicoroni--baco-djicoroni-golf-bamako.html
52,TDI9164 A louer appartement F4 à Banankabougou zerny Bamako Immobilier A louer à,"Toutes les annonces immobilières de locations Appartements / Villas de prestige à Banankabougou zèrny. Tout pour trouver des Appartements / Villas de luxe à louer ou à vendre à Banankabougou zèrny.A louer à Banankabougou zerny, appartement non meublé composé de 3 chambres-salon, cuisine, 2 toilettes.Prix : 100.000 fcfa/mois (152 )",Banankabougou,, 3, 4, 152  C.C,https://www.bamako-immobilier.com//2460-location-appartements-banankabougou.html
